"","discharge","TN","TP"
"712",1600992000,99736934584.32,7253595242.496
"713",1043712000,65020084715.52,4728733433.856
"714",1502496000,93600933212.16,6807340597.248
"715",1601856000,99790759157.76,7257509756.928
"716",490320000,30545445427.2,1527272271.36
"717",639792000,39857096632.32,1992854831.616
"718",267330240,16653861268.0704,832693063.40352
"719",525571200,32741488023.552,1637074401.1776
"720",1308787200,66709197692.928,3150156557.7216
"721",2121120000,108113995468.8,5105383119.36
"722",2415744000,123131051458.56,5814521874.432
"723",1238976000,70167671193.6,2490952327.3728
"724",393206400,22268693975.04,790538636.11392
"725",165931200,9397281208.32,333603482.89536
"726",112838400,6390444810.24,226860790.76352
"727",17686080,851382423.2448,43069934.352384
"728",56540160,2721761884.5696,137689130.631168
"729",339379200,16337225981.952,826471432.02816
"730",268194240,12910484513.8944,653118628.349952
"731",276652800,13317667411.968,673717292.60544
"732",270285120,15307219372.032,704132091.113472
"733",310236480,17569808713.728,808211200.831488
"734",303868800,17209184071.68,791622467.29728
"735",259027200,14669642833.92,674803570.36032
"736",237686400,13461036503.04,376909022.08512
"737",282787200,16015257169.92,448427200.75776
"738",401673600,22748221992.96,636950215.80288
"739",265049280,15010694903.808,420299457.306624
"740",105192000,5957401651.2,223402561.92
"741",460399680,26074091317.248,977778424.3968
"742",303782400,17204290928.64,645160909.824
"743",117650880,6662992877.568,249862232.9088
"744",0,0,0
"745",0,0,0
"746",0,0,0
"747",571536000,24276105907.2,1262357507.1744
"748",164678400,8393697570.816,415021713.22368
"749",0,0,0
"750",293760000,14973017702.4,740332541.952
"751",619107840,31556075190.6816,1560272606.65037
"752",376790400,19205097117.696,1280339807.8464
"753",137548800,7010895347.712,467393023.1808
"754",417916800,21301319596.032,1420087973.0688
"755",318211200,16219301234.688,1081286748.9792
"756",703270080,35845844762.4192,2389722984.16128
"757",384480000,17419589222.4,577023892.992
"758",283478400,12843521851.392,425441661.32736
"759",640569600,29022209998.848,961360706.21184
"760",846115200,38334839832.576,1269841569.45408
"761",635990400,28814740733.952,954488286.81216
"762",678931200,34605286207.488,1538012720.3328
"763",577756800,29448402757.632,1308817900.3392
"764",1002672000,51106432481.28,2271396999.168
