"","Date","Real","SVM","NB","RVM","NET"
"200","2014-10-16","0","1","1","1","1"
"201","2002-02-07","1","1","1","1","1"
"202","2009-05-28","0","0","0","1","0"
"203","2001-11-22","1","1","1","1","1"
"204","2005-09-22","1","0","1","0","0"
"205","1999-03-11","0","0","0","0","0"
"206","2003-03-13","1","0","1","0","1"
"207","2005-05-12","1","1","1","1","1"
"208","2000-05-18","0","0","0","0","0"
"209","1999-03-18","0","0","0","0","0"
"210","2018-09-27","0","1","1","1","1"
"211","2009-02-19","0","0","0","0","0"
"212","2010-03-11","0","0","0","0","0"
"213","2012-11-22","1","1","1","1","0"
"214","2008-07-03","0","0","1","0","1"
"215","1998-01-08","1","1","1","1","0"
"216","2011-01-06","0","0","0","0","1"
"217","2010-07-29","0","0","1","0","0"
"218","2015-02-05","0","0","1","0","0"
"219","2002-01-10","1","1","1","1","1"
"220","2012-12-06","1","1","1","1","1"
"221","2015-03-05","0","0","1","0","0"
"222","2014-11-27","0","0","1","1","0"
"223","1998-03-19","0","0","0","1","1"
"224","2011-09-01","0","0","1","0","0"
"225","2010-12-30","0","1","0","1","1"
"226","2008-12-11","0","0","1","0","0"
"227","2006-08-31","1","1","0","0","0"
"228","2011-02-17","0","1","1","1","0"
"229","2008-11-13","0","0","1","1","0"
"230","2017-06-15","0","0","1","0","0"
"231","2001-11-01","1","0","1","1","1"
"232","1998-03-05","0","0","0","1","0"
"233","2002-12-05","1","0","1","1","0"
"234","2014-11-06","1","1","1","1","1"
"235","2012-06-07","0","0","1","0","1"
"236","2008-01-10","0","0","0","0","0"
"237","2017-03-09","0","1","1","1","1"
"238","2012-07-19","0","0","1","0","0"
"239","2003-06-26","1","0","0","1","0"
"240","2015-12-03","1","1","1","1","1"
"241","2007-01-11","1","1","1","1","1"
"242","2009-10-01","0","0","1","1","0"
"243","2004-01-15","1","0","1","1","0"
"244","1999-08-12","0","0","1","0","0"
"245","2007-01-18","1","1","1","1","0"
"246","2002-05-09","0","0","0","0","0"
"247","2014-09-11","0","0","1","1","0"
"248","1999-12-16","0","1","1","1","1"
"249","2001-04-19","0","0","0","0","0"
"250","2007-07-12","0","0","0","0","0"
"251","2010-11-04","0","0","1","0","1"
"252","2011-06-16","0","0","0","0","0"
"253","2009-01-08","0","0","0","0","1"
