,site_no,lat,lon
214,2249518,28.07723829,-80.6022755
215,2249950,28.01335236,-80.7247788
216,2249970,27.99918616,-80.7128342
217,2249990,28.03529575,-80.6711664
218,2250000,28.01307414,-80.62199889
219,2250005,28.01307407,-80.6053319
220,2250030,28.01724054,-80.59588719
221,2250500,27.96724239,-80.5656091
222,2250600,27.96002037,-80.5422754
223,2250700,27.9372435,-80.5350531
224,2251000,27.76947258,-80.5058868
225,2251500,27.85613569,-80.52422
226,2251765,27.82197049,-80.6072774
227,2251767,27.83058119,-80.5342203
228,2252500,27.69308613,-80.42005169
229,2253000,27.64780983,-80.405607
230,2253500,27.6044779,-80.386579
231,2253800,27.20560356,-80.193657
232,2255600,27.20921499,-81.4614637
233,2256000,27.06616477,-81.430908
234,2256500,26.9325585,-81.3147949
235,2257000,26.96255665,-81.11784588
236,2257030,26.9783892,-81.089234
237,2257790,27.0389222,-81.0714972
238,2258000,27.02449846,-81.069789
239,2259000,27.10032883,-81.0120098
240,2259100,27.0964472,-81.0091722
241,2259200,27.09338463,-81.0067319
242,2259500,27.06616336,-80.9864537
243,2259627,27.12199467,-80.8953402
244,2261500,28.33973105,-81.173955
245,2262900,28.37139699,-81.3106247
246,2263130,28.3319542,-81.5409065
247,2263500,28.26584547,-81.3103472
248,2263692,28.47194903,-81.42923779
249,2263800,28.3041775,-81.450905
250,2263851,28.41361778,-81.55729559
251,2263869,28.41278456,-81.5378509
252,2264000,28.39056323,-81.5195173
253,2264003,28.38945214,-81.5250729
254,2264030,28.3805,-81.5069722
255,2264051,28.37444444,-81.515
256,2264060,28.37111947,-81.5289619
257,2264100,28.32528785,-81.5206284
258,2264140,28.30806625,-81.5245174
259,2264495,28.26723444,-81.4478495
260,2265000,28.13973824,-81.3514594
261,2266000,28.07307337,-81.2606245
262,2266025,28.4052845,-81.61146309
263,2266200,28.38500749,-81.6164632
264,2266205,28.39306276,-81.6109075
265,2266291,28.42694444,-81.6052778
266,2266293,28.39472948,-81.5844349
267,22662947,NA,NA
268,2266295,28.36639716,-81.5984074
269,2266298,28.3486201,-81.5811849
270,2266300,28.33278738,-81.579796
271,2266320,28.298622,-81.5775738
272,2266480,28.271123,-81.5909074
273,2266495,28.27584517,-81.5439622
274,2266496,28.27584517,-81.54368439
275,2266500,28.2636234,-81.536462
276,2266700,28.17557077,-81.5981304
277,2267000,27.96141068,-81.49646319
278,2267500,28.00029798,-81.3803494
279,2268390,27.81141547,-81.4436846
280,2268903,27.8041929,-81.1978457
281,2269000,27.77058296,-81.1789565
282,2269160,27.43253863,-81.13951178
283,2269500,27.72058526,-81.4775744
284,2269520,27.708641,-81.4464626
285,2270000,27.53225706,-81.3875724
286,2270500,27.4425375,-81.2972928
287,2270805,27.26782336,-81.3867396
288,2271000,27.323099,-81.4189625
289,2271500,27.3742078,-81.3934062
290,2272000,27.39920639,-81.16229
291,2272500,27.36476398,-81.0517323
292,2272502,27.3625,-81.0508333
293,2272650,27.46531709,-80.9220072
294,2272676,27.38031945,-80.97589739
295,2273000,27.22587987,-80.96256389
296,2273198,27.33083333,-81.2533333
297,2273200,27.33226418,-81.2511809
298,2273230,27.21393588,-81.201458
299,2273300,27.21560245,-80.981731
300,2273630,27.24393485,-80.8964511
301,2274000,27.39448596,-80.89534
302,2274005,27.37754217,-80.8453388
303,2274010,27.3653202,-80.8725617
304,2274325,27.31638889,-80.8383333
305,2274490,27.3047665,-80.8189493
306,2274495,27.2961556,-80.8261717
307,2274500,27.28448929,-80.8220049
308,2274505,27.28087828,-80.8239494
309,2275000,27.25171243,-80.8242271
310,2275197,27.2372685,-80.780615
311,2275503,27.20666667,-80.7980556
312,2275606,27.19393666,-80.7611701
313,2275625,27.20560294,-80.7428363
314,2275631,27.19310335,-80.7295027
315,2275705,27.1625488,-80.717558
316,2276568,27.30365524,-80.3072717
317,2276575,27.27421184,-80.3211609
318,2276870,26.98488816,-80.6208892
319,2276877,26.985777,-80.6153891
320,2276998,27.10866667,-80.28725
321,2277000,27.11116205,-80.2847703
322,2277100,27.20227,-80.2586592
323,2277110,27.19977036,-80.206713
324,2277600,26.93922405,-80.1750444
325,2277700,26.93422439,-80.1417101
326,2277900,26.75034127,-80.1089317
327,2278000,26.8642256,-80.631723
328,2278450,26.68506528,-80.3706056
329,2278500,26.68367645,-80.3692167
330,2278550,26.68506533,-80.3594943
331,2278600,26.6850653,-80.363661
332,2279000,26.64478938,-80.0586527
333,2280500,26.70034336,-80.712281
334,2281200,26.4720184,-80.4458857
335,2281300,26.3559112,-80.2992158
336,2281400,26.33035644,-80.2122691
337,2281490,26.3278564,-80.1336556
338,2281500,26.3278564,-80.1308777
339,2282000,26.23119327,-80.1242112
340,2282100,26.20591644,-80.132267
341,2282700,26.17313998,-80.17949079
342,2283200,26.13508588,-80.1947691
343,2283498,26.70034338,-80.7150588
344,2283500,26.6975657,-80.7136699
345,2284300,26.33369027,-80.53588848
346,2284700,26.14564149,-80.4411646
347,2285000,26.09453194,-80.2297703
348,2285400,26.06147799,-80.4414426
349,2286100,26.0661996,-80.2086586
350,2286200,25.96425918,-80.310884
351,2286300,25.92842674,-80.15587938
352,2286328,25.9002222,-80.1949722
353,2286380,25.93370499,-80.4303317
354,2286400,26.69534407,-80.8067278
355,2287395,25.94148249,-80.4394986
356,2287400,25.93370499,-80.4303317
357,2287497,25.8914843,-80.42005379
358,2288010,25.87648479,-80.3878308
359,2288200,25.8534299,-80.3225513
360,2288600,25.80843135,-80.2633833
361,2288800,25.88772088,-81.2616343
362,2288900,25.85176527,-80.9803467
363,22889001,NA,NA
364,2289000,25.7670457,-80.8331209
365,2289019,25.76183333,-80.7694722
366,2289027,26.66701244,-80.969232
367,2289030,26.43091007,-80.94701
368,2289031,26.33035794,-80.8797864
369,2289032,26.331469,-80.8797864
370,2289035,26.32719444,-80.8816111
371,2289040,25.7620455,-80.7258958
372,2289041,25.76148997,-80.7258958
373,2289050,25.76121208,-80.6739499
374,2289060,25.76148959,-80.56089139
375,2289080,25.76138889,-80.5366667
376,2289085,25.76138889,-80.5166667
377,2289096,25.92564979,-80.454499
378,2289500,25.76232213,-80.32810739
379,2290700,25.67010294,-80.2839402
380,229070838,NA,NA
381,22907085,NA,NA
382,2290709,25.5598611,-80.3595556
383,2290710,25.54316317,-80.3308866
384,2290725,25.4706659,-80.346165
385,22907647,NA,NA
386,2290765,25.71758333,-80.4965556
387,2290766,25.70216667,-80.4959722
388,2290767,25.68621447,-80.497001
389,2290768,25.66338889,-80.4981667
390,2290769,25.33067204,-80.525059
391,22908205,NA,NA
392,22908295,NA,NA
393,2290829501,NA,NA
394,2290829502,NA,NA
395,2290878,25.50138889,-81.0769444
396,2290888,25.70916667,-81.2497222
397,2290918,25.55555556,-81.1647222
398,2290928,25.8697222,-81.3825
399,2290930,25.8286111,-81.3416667
400,2290940,25.7975,-81.2555556
401,2290942,25.79138889,-81.2997222
402,2290947,25.7885722,-81.0999222
403,22909471,NA,NA
404,2291000,25.95815178,-81.355078
405,2291001,25.95794444,-81.3551944
406,2291310,26.14941667,-81.7861056
407,2291315,26.13276667,-81.7928306
408,2291325,26.105675,-81.7870222
409,2291330,26.09313333,-81.7981417
410,2291500,26.33583333,-81.74938889
411,2291524,26.36233333,-81.7903611
412,2291580,26.44294444,-81.7959722
413,2291597,26.42875,-81.7934444
414,2291669,26.52202778,-81.8544167
415,2291670,26.5184109,-81.85453079
416,2291673,26.50688889,-81.8544167
417,2291710,26.50641667,-81.8527778
418,2291715,26.53091043,-81.874809
419,2291717,26.53229929,-81.8845315
420,2292000,26.83983056,-81.0871583
421,2292010,26.83333333,-81.08888889
422,2292480,26.7897863,-81.3028506
423,2292780,26.71068889,-81.5584972
424,2292900,26.72173487,-81.69313699
425,22929176,NA,NA
426,2293055,26.69194444,-81.7594444
427,2293190,26.65388889,-81.8405556
428,2293205,26.64138889,-81.8827778
429,2293210,26.52371389,-82.0050806
430,2293214,26.6364617,-81.9298099
431,2293216,26.63618405,-81.95786619
432,2293230,26.57488889,-81.89188889
433,2293240,26.6003523,-81.9939785
434,2293241,26.60340765,-81.9631443
435,2293243,26.57813097,-81.983145
436,2293249,26.46427778,-82.1045556
437,2293252,26.74383333,-82.0600278
438,2293254,26.75533333,-82.0594722
439,2293261,26.74423494,-81.9161978
440,2293262,26.74202778,-81.9209444
441,2293263,26.72563333,-81.9566972
442,2293264,26.69423756,-82.0370344
443,2293344,26.64219444,-82.0564444
444,22933442,NA,NA
445,2293345,26.6522948,-82.039257
446,22933452,NA,NA
447,2293346,26.67840488,-82.0403679
448,22933462,NA,NA
449,2293347,26.67840488,-82.0403679
450,2293348,26.684,-82.0649444
451,2293349,26.6975,-82.0653333
452,2293350,26.70944444,-82.0703611
453,2293390,26.89506249,-81.9750872
454,2293694,28.03085389,-81.6595218
455,2293763,27.95446714,-81.5922987
456,2293986,27.92335788,-81.7075792
457,2293987,27.92474686,-81.7267463
458,2294068,27.98446716,-81.7295237
459,2294161,27.92444444,-81.7955556
460,2294217,28.04418733,-81.876192
461,2294260,28.0597422,-81.914248
462,2294290,28.0044668,-81.8520254
463,2294330,28.00002249,-81.8120249
464,2294405,27.98280097,-81.8934151
465,2294491,27.93835785,-81.8511927
466,2294650,27.90224784,-81.8173036
467,2294655,27.88305556,-81.8044444
468,2294747,27.8634972,-81.8094778
469,2294759,27.8436111,-81.80388889
470,2294760,27.83833333,-81.8122222
471,2294775,27.86333333,-81.8075
472,2294781,27.8211393,-81.7995263
473,2294898,27.7514193,-81.7820266
474,2295013,27.70003166,-81.6953579
475,2295163,27.707254,-81.8075826
476,2295194,27.6461448,-81.8023047
477,2295420,27.62059006,-81.8256384
478,2295435,27.59253537,-81.8220272
479,2295520,27.62708333,-81.72775
480,2295580,27.57905556,-81.7968333
481,2295637,27.5044825,-81.8009157
482,2295755,27.48198348,-81.8803615
483,2295850,27.425319,-81.8892505
484,2296057,27.51809267,-81.66591258
485,2296222,27.4780935,-81.5567431
486,2296223,27.4780935,-81.5567431
487,2296260,27.45948376,-81.6784128
488,2296389,27.41198568,-81.6964687
489,2296500,27.37504297,-81.7964708
490,2296750,27.22088245,-81.8761946
491,2297000,27.17838397,-81.8278604
492,2297100,27.16671794,-81.8795282
493,2297105,27.1625,-81.9019444
494,2297153,27.4908723,-82.0286976
495,2297155,27.4872613,-82.0234197
496,2297220,27.4275413,-81.9806411
497,2297272,27.26088118,-81.98119669
498,2297290,27.23643776,-81.9964749
499,2297310,27.19949477,-81.9884193
500,2297345,27.08666667,-81.9994444
501,2297350,27.07755529,-82.00730919
502,2297460,26.98755887,-81.9942538
503,2297600,26.96734444,-81.8266361
504,2297635,26.975,-81.8875
505,2298110,27.04155556,-81.7431667
506,2298123,27.05199986,-81.7845267
507,2298124,27.0511111,-81.7861111
508,2298170,26.99027778,-81.8947222
509,2298202,26.98478094,-81.9356414
510,2298208,26.9720038,-81.9692533
511,2298300,26.94394974,-82.0584221
512,2298488,27.4292084,-82.1386997
513,2298492,27.4094869,-82.1264772
514,2298494,27.393932,-82.14231089
515,2298495,27.38448789,-82.1298107
516,2298527,27.40365397,-82.181756
517,2298530,27.4097648,-82.1750893
518,2298554,27.3661553,-82.1492555
519,2298556,27.3553224,-82.1500888
520,2298608,27.3436562,-82.1567556
521,2298700,27.30171364,-82.2539797
522,2298760,27.28838098,-82.3400929
523,2298805,27.26421515,-82.28731389
524,2298830,27.240605,-82.3137035
525,2298850,27.21838374,-82.33314859
526,2298880,27.1856073,-82.3556494
527,2298928,27.1231098,-82.3425939
528,2298955,27.10033295,-82.3334272
529,2299060,27.17616297,-82.2114794
530,2299120,27.1353314,-82.25648068
531,2299160,27.11449895,-82.2637032
532,2299230,27.04519625,-82.2930655
533,2299260,27.06033333,-82.2606667
534,2299410,27.1933843,-82.1442558
535,2299450,27.11163889,-82.2048417
536,2299455,27.1086657,-82.2053687
537,2299470,27.07116727,-82.2178692
538,2299472,27.06933333,-82.2203333
539,2299482,27.0456111,-82.2353333
540,2299484,27.04700165,-82.2378698
541,2299496,26.95811636,-82.2125921
542,2299680,26.96117194,-82.3037052
543,2299681,26.98505987,-82.3523173
544,2299684,27.01005886,-82.36815079
545,2299692,27.1117214,-82.36009439
546,2299700,27.24921594,-82.3859275
547,2299710,27.2347222,-82.3961194
548,2299727,27.14394246,-82.4300958
549,2299730,27.11850278,-82.451425
550,2299732,27.10888889,-82.4611111
551,2299733,27.1136659,-82.4564855
552,2299734,27.11271944,-82.4474111
553,2299735,27.1122222,-82.4655556
554,2299737,27.1964404,-82.4625963
555,2299741,27.22588369,-82.4625961
556,2299742,27.23171687,-82.49898589
557,2299750,27.30865817,-82.4514844
558,2299780,27.3231021,-82.4812073
559,2299861,27.3678222,-82.5442639
560,2299950,27.47365137,-82.211201
561,2300000,27.47531814,-82.3012029
562,2300009,27.5208719,-82.4017604
563,23000095,NA,NA
564,2300017,27.57577778,-82.39738889
565,2300018,27.55337054,-82.3895379
566,2300021,27.51837203,-82.4281499
567,2300032,27.4225425,-82.4164832
568,2300033,27.42055556,-82.4261111
569,2300034,27.421987,-82.4320391
570,23000355,NA,NA
571,2300036,27.405321,-82.4420394
572,2300037,27.41448736,-82.4812069
573,2300038,27.42365367,-82.490096
574,2300039,27.4347643,-82.4675954
575,2300042,27.44143074,-82.4875958
576,2300044,27.445875,-82.4909292
577,2300050,27.4530969,-82.4675954
578,2300056,27.44531935,-82.5156519
579,2300062,27.47920677,-82.52981869
580,2300064,27.49642834,-82.52537409
581,2300075,27.57991667,-82.51338889
582,2300082,27.58805556,-82.5397222
583,23000825,NA,NA
584,2300084,27.595,-82.5561111
585,23000842,NA,NA
586,23000843,NA,NA
587,2300092,27.6991985,-82.1206436
588,2300096,27.67475493,-82.1209214
589,2300100,27.70475366,-82.1978672
590,2300130,27.70475349,-82.25647939
591,2300210,27.60197978,-82.2112009
592,2300300,27.6494778,-82.294258
593,2300430,27.6905871,-82.3378699
594,2300500,27.67114344,-82.3525925
595,2300530,27.70780854,-82.3637038
596,2300542,27.66555556,-82.4322222
597,2300546,27.68864243,-82.4384275
598,2300554,27.7183632,-82.4798172
599,2300700,27.79197208,-82.3520369
600,2300705,27.8378037,-82.38203749
601,2300882,27.89030394,-82.01175129
602,2301000,27.8839148,-82.10008689
603,2301150,27.72930556,-82.0742778
604,2301300,27.79669525,-82.1175877
605,2301314,27.83752744,-82.0878647
606,2301350,27.93780175,-82.1561993
607,2301500,27.872248,-82.2112008
608,2301600,27.86641475,-82.23231238
609,2301638,27.85891477,-82.2737021
610,2301695,27.8936357,-82.29842488
611,2301706,27.88280265,-82.309814
612,2301718,27.86780308,-82.3198141
613,2301719,27.85696987,-82.3575926
614,2301721,27.85974739,-82.3842598
615,2301738,27.88002457,-82.3706484
616,2301740,27.8966908,-82.3498147
617,2301745,27.902246,-82.3770375
618,2301750,27.9258564,-82.3642595
619,2301793,27.985021,-82.37175969
620,2301800,27.9666883,-82.3684263
621,2301802,27.9561331,-82.3706485
622,2301805,27.9422444,-82.4098159
623,2301900,28.18194444,-82.0125
624,2301988,28.19334443,-82.16508419
625,2301990,28.18555556,-82.1841667
626,2302010,28.1786111,-82.1891667
627,2302280,28.11946029,-82.1128623
628,2302500,28.1397222,-82.15
629,2303000,28.15029044,-82.23175318
630,2303090,28.17933333,-82.2663333
631,2303100,28.16556714,-82.265087
632,2303174,28.02002103,-82.1370315
633,2303180,28.04057533,-82.1542538
634,2303200,28.0264089,-82.2364787
635,2303205,28.02835317,-82.2453678
636,2303250,28.00696557,-82.2448128
637,2303300,28.0680729,-82.2675895
638,2303313,28.0527961,-82.2492562
639,2303330,28.0986111,-82.31138889
640,2303348,28.17133333,-82.3622222
641,2303350,28.1347222,-82.3619444
642,2303351,28.1219588,-82.3717581
643,2303358,28.37583514,-82.3295337
644,2303400,28.32388889,-82.3836111
645,2303408,28.27889584,-82.4095362
646,2303410,28.2593611,-82.3861111
647,2303420,28.1872222,-82.4022222
648,2303500,28.1364027,-82.4428714
649,2303800,28.08888889,-82.4091667
650,2304000,28.05446224,-82.3637032
651,2304500,28.02390784,-82.4275939
652,2304510,28.02113015,-82.4345385
653,2304515,28.01363044,-82.44120529
654,2304517,28.0151611,-82.4424056
655,2304520,28.0197412,-82.451761
656,2305000,28.12806987,-82.4873173
657,2305500,28.0880715,-82.4650944
658,2305780,28.0689057,-82.4564832
659,2305851,28.05862836,-82.4612055
660,2306000,28.02113004,-82.451761
661,23060003,NA,NA
662,23060005,NA,NA
663,23060013,NA,NA
664,2306002,28.02890745,-82.4559277
665,2306006,28.0189078,-82.4675947
666,2306021,27.96529857,-82.4867617
667,2306028,27.94196627,-82.4587057
668,2306032,27.88974575,-82.4795394
669,2306071,27.8939121,-82.518429
670,2306289,28.07418316,-82.5000954
671,2306500,28.04307328,-82.5117623
672,2306647,28.01390775,-82.5450963
673,23066535,NA,NA
674,2306654,28.00048604,-82.556316
675,2306660,27.99307525,-82.5039843
676,2306774,28.06583333,-82.5658333
677,2306910,28.06973888,-82.5323183
678,2306950,28.06501684,-82.5553744
679,2307000,28.03696237,-82.5759304
680,2307032,28.0508507,-82.6267649
681,2307200,28.12890323,-82.5703748
682,2307243,28.14751363,-82.5942643
683,2307323,28.14084726,-82.6398209
684,2307359,28.09643229,-82.6871441
685,2307362,28.08682987,-82.6937554
