"","Tampa_TN_mg","Myakka_TN_mg","Peace_TN_mg","Withlacoochee_TN_mg","Manatee_TN_mg","Hillsborough_TN_mg","Tampa_TP_mg","Myakka_TP_mg","Peace_TP_mg","Withlacoochee_TP_mg","Manatee_TP_mg","Hillsborough_TP_mg"
"96",88490962.7712,4479103472.33088,34973623666.2528,4589866544.08321,880316393.564159,1153064194.48421,41295782.62656,1820051956.0512,10270239487.0675,292399446.7008,279781406.99712,217047377.785263
"97",15673980.830976,2902471187.30784,38492924031.936,5023475065.02529,741716485.90848,1140848532.6336,6329876.87404799,1179398599.4016,11303705676.5424,320022666.32832,235731702.30336,285212133.1584
"98",9637840.35302397,1826139943.45727,21849482100.3264,3956721358.6368,557791802.0352,1033193269.3248,3892204.75795199,633447948.671997,6416247169.01376,252064656.9792,177276915.8064,258298317.3312
"99",12100375.752192,1127785930.49664,13817592700.5312,3663346647.36384,537630421.66272,903812450.918401,4886690.207616,391204237.536,4057628901.23808,233375093.25696,170869243.05504,225953112.7296
"100",8554070.333952,997770124.840321,5430704244.0768,3706428427.19999,2265798020.24448,916491807.8208,2796522.993792,96118761.1276801,2199638546.784,236119636.8,720113998.455361,229122951.9552
"101",206296524.03615,1017161166.49056,4012603830.03169,3660032664.29952,892677696.16896,781532806.3488,67443094.3964337,97986769.4534399,1625254784.7984,233163974.52288,283710065.67072,151964712.3456
"102",206296524.03615,1088557067.55744,3440069981.93664,3879278807.02849,632419573.109761,745531506.432,67443094.3964337,115038022.23648,1393357140.4032,247131145.50912,200995050.49632,144964459.584
"103",16047959.675904,1117200507.5088,8966464837.12512,4024919641.69728,1601373214.03392,884765891.6352,5246448.355584,168664346.928,3631753967.3856,256409258.29632,351365133.3984,172037812.2624
"104",4902011.86176,1741788197.42112,9343649073.02111,3957419039.28194,973591525.00224,882001395.954383,1602580.80096,234021446.8704,3784527704.8656,252109103.028481,213620480.8848,171500271.435575
"105",5031511.950528,1961588029.8672,6533018153.92511,3932825796.54145,685544427.095041,788817473.0496,1118113.766784,274848226.8336,2646116951.3856,250542379.791361,150418657.5408,153381175.3152
"106",15706805.665536,3945841174.75103,5471885649.4848,4415097542.48064,919623419.3664,915253995.542401,3490401.25900801,530151405.436799,2216318557.824,281265711.35616,201779074.728,121298722.3008
"107",22328787.888,3148658491.39775,4094180450.3808,4393295022.32066,627034261.43232,859855206.24,4961952.86399999,463334262.969599,1658296370.304,279876772.316161,137580655.7664,113956714.08
"108",23783427.56736,1929402769.87872,4416892918.2144,6008600135.93471,598018738.72896,840035173.5648,5285206.12608,283917234.2112,1789007002.272,382780487.911679,131214217.9392,111329962.7616
"109",19465697.760768,2256593024.26656,5545375739.31744,9909507042.96194,694966428.86976,890124647.8176,5909229.677376,267095143.6272,2246084795.7072,631289460.948481,138657147.2352,117968326.8192
"110",13802129.3491201,1253029876.79904,4349430288.62783,11063994090.4742,752188296.231359,674335510.646401,4189932.12384002,214044808.1328,1761682111.45919,704836560.99456,150073843.8672,132656166.0288
"111",15564822.964992,818268612.909119,3236334338.09088,8633100302.71489,588447343.180801,604130121.475199,4725035.54294401,98222455.8431999,1310836576.6944,549975413.790721,117404850.816,118845269.7984
"112",8119722.336768,536937889.011839,2485994156.50061,23561896326.8314,571607463.983041,597336553.0368,2464915.709376,79326003.9167998,1006920710.08704,1501020864.77184,114045020.0208,117508830.1056
"113",2375804.438784,338049514.99008,2036570247.99072,19809944237.5373,534429057.343681,528654664.3392,536471.970048,49942679.9616001,824887200.5136,1262001123.25632,106627320.9936,103997638.8864
