eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
KR-95-004,1995,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Imha,36.533333,128.866667,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:17,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-95-003,1995,,,0,,NULL,,0,1,0,0,0,0,,0,0,Noksan,36.5,128,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:16,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-95-002,1995,,,0,,NULL,,0,1,0,0,0,0,,0,0,Gunsan Reservoir,35.966667,126.716667,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:15,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-95-001,1995,,,0,,NULL,,0,1,0,0,0,0,,0,0,Mijae Reservoir,35.8,127,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:14,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-93-001,1993,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Yonglang,35.6,126.5,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:13,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-92-005,1992,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Soyang,37.95,127.8,,,,,,,,0,,,1,"microcystins, anatoxin-a",0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:20,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-92-004,1992,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Yongsan,37.533333,126.966667,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:19,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-92-003,1992,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Choongju,37.016667,127.85,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:18,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-92-002,1992,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Hapchon,35.566667,128.166667,,,,,,,,0,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:12,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
KR-92-001,1992,,,0,,NULL,,0,1,0,0,0,0,,0,0,Lake Jangsong,35.2,126.816667,,,,,,,,0,,,1,"microcystins, anatoxin-a",0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"H.-D. Park, B. Kim, E. Kim, T. Okino, Hepatotoxic microcystins and neurotoxic anatoxin-a in cyanobacterial blooms from Korean lakes. Environ. Toxicol. Water Qual. 13, 225–234 (1998).",,,2/10/2019 12:11,,,"KOREA, REPUBLIC OF",Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
